2699,3697,150
2894,3718,152
3372,3747,158
3836,3766,161
4108,3770,158
4390,3773,155
4609,3767,135
4806,3743,112
4956,3712,93
5085,3664,80
5200,3590,70
5274,3509,59
5315,3425,53
5329,3364,51
5330,3282,53
5301,3187,58
5260,3103,60
5205,3018,68
5129,2931,77
5022,2833,85
4923,2762,90
4785,2683,97
4640,2618,103
4471,2556,110
4289,2491,117
4104,2409,120
3913,2302,123
3739,2181,126
3600,2068,129
3416,1902,129
3255,1755,127
3093,1603,112
2973,1486,85
2878,1395,59
2814,1346,43
2700,1319,33
2648,1347,38
2569,1486,49
2546,1576,53
2521,1666,63
2473,1762,63
2398,1842,59
2313,1889,55
2221,1906,56
2119,1894,60
2018,1857,67
1928,1807,69
1821,1747,68
1729,1679,67
1648,1597,70
1583,1494,75
1535,1380,79
1508,1249,80
1500,1121,79
1494,1004,78
1487,872,79
1469,743,84
1426,607,85
1268,377,82
1157,284,89
1026,198,84
886,123,93
735,61,86
616,38,75
518,38,65
417,62,50
356,99,40
313,209,40
326,272,47
366,356,58
422,442,60
477,532,66
522,631,68
551,740,64
560,858,59
550,944,51
519,1019,56
469,1078,45
105,1130,49
335,1160,51
254,1191,51
179,1220,50
117,1241,30
85,1261,17
82,1287,20
107,1327,33
156,1373,47
213,1415,53
299,1466,63
378,1539,62
425,1614,57
448,1697,55
450,1785,60
430,1896,66
389,2005,71
301,2228,77
267,2347,79
250,2476,84
251,2634,91
271,2770,93
316,2925,96
375,3058,98
454,3199,98
574,3325,98
695,3426,100
830,3510,98
1001,3580,97
1146,3616,102
1334,3649,110
1755,3693,125
1932,3708,130
2156,3733,135
