1401,3851,90
1967,3874,90
2424,3875,90
2965,3875,90
3363,3875,90
3818,3875,90
4329,3875,90
4688,3822,90
5000,3612,90
5223,3320,90
5246,3062,90
5128,2854,90
4736,2692,90
4429,2623,90
4101,2560,90
3842,2407,90
3673,2191,90
3570,2059,90
3322,1918,90
3033,1654,90
2809,1518,90
2562,1519,90
2407,1596,90
2385,1688,90
2377,1833,90
2254,1888,90
2002,1812,90
1684,1689,90
1519,1516,90
1501,1300,90
1520,974,90
1541,743,90
1460,551,90
1153,371,90
866,279,90
660,184,90
366,232,90
368,414,90
462,655,90
519,893,90
488,1091,90
384,1235,90
258,1280,90
123,1378,90
165,1504,90
300,1601,90
447,1721,90
455,1840,90
457,1988,90
382,2118,90
280,2285,90
232,2482,90
238,2686,90
293,2890,90
388,3090,90
568,3271,90
1021,3568,90
