2581,3923,2580,3459,173,0.8
3542,3928,3524,3448,189,0.7
4149,3928,4138,3446,188,0.8
5245,3875,4924,3423,141,0.3
5469,3340,5135,3243,95,0.2
5487,2952,5105,3016,82,0.2
5431,2538,4986,2864,108,0.2
4971,2461,4820,2799,123,0.4
4355,2408,4324,2727,145,0.6
4064,2280,3841,2538,146,0.8
3776,1935,3526,2174,159,0.4
3312,1671,3192,1974,156,0.8
3018,1312,2816,1658,120,0.6
2662,1270,2685,1634,103,0.8
2183,1284,2563,1622,74,0.2
2317,1705,2613,1947,75,0.8
2225,1660,2216,2022,77,0.5
1737,1463,1464,1748,110,0.3
1645,1421,1392,1473,112,0.3
1677,1042,1383,1020,112,0.8
1748,601,1389,712,114,0.3
1652,401,1333,628,112,0.2
1269,185,1114,539,107,0.6
691,18,664,366,107,0.9
292,0,477,269,88,0.4
216,330,468,362,66,0.4
357,729,608,658,104,0.6
403,949,625,1025,95,0.2
333,1098,471,1326,74,0.9
9,1138,264,1345,72,0.2
20,1570,259,1405,61,0.5
264,1674,354,1443,83,0.8
331,1711,556,1499,89,0.5
355,1755,581,1699,92,0.5
355,1870,601,2035,101,0.3
255,2055,459,2217,110,0.3
117,2407,368,2432,127,0.7
174,2952,413,2870,112,0.2
452,3343,605,3115,108,0.4
839,3584,983,3309,127,0.5
1185,3928,1610,3417,152,0.6
