3542,3869,3528,3472,100
4149,3869,4135,3467,100
5107,3847,4932,3449,100
5401,3338,5135,3243,100
5420,2950,5105,3016,100
5364,2577,4988,2859,100
4965,2521,4826,2783,100
4352,2450,4332,2711,100
4020,2332,3851,2517,100
3740,1971,3535,2160,100
3277,1700,3202,1957,100
2972,1371,2820,1641,100
2667,1324,2687,1616,100
2324,1446,2552,1611,100
2358,1741,2600,1935,100
2225,1719,2217,1962,100
1727,1510,1552,1736,100
1595,1453,1429,1465,100
1620,1038,1409,1019,100
1668,620,1411,700,100
1584,441,1344,605,100
1248,244,1119,515,100
684,64,597,305,100
315,22,472,256,100
277,340,457,360,100
413,726,594,712,100
448,962,606,1019,100
356,1137,456,1290,100
78,1173,254,1338,100
76,1509,250,1410,100
277,1642,353,1455,100
355,1692,544,1553,100
378,1748,573,1697,100
380,1881,585,1939,100
260,2078,453,2210,100
165,2411,356,2429,100
232,2937,405,2873,100
473,3297,600,3121,100
893,3490,979,3342,100
1226,3902,1614,3484,100
2581,3881,2579,3481,100
